Variable	Term	Beta	StandardError	Z	P	LRT	Wald	LogRank	HR	HRlower	HRupper	mm	status
FAM163A	FAM163A	2.98430487650138	1.13708079230141	2.62453195648591	0.00867681498690027	0.0249968294200891	0.00867681498690027	0.00606685294930944	19.772752952989	2.12903212720796	183.63356491602	Fam163a	up
FXYD7	FXYD7	0.409074234044547	0.12726725673654	3.21429285532087	0.0013076622836022	0.0011440411217838	0.0013076622836022	0.000971716002947488	1.50542347001063	1.17308261115048	1.93191835128834	Fxyd7	up
GPR139	GPR139	6.24038799251773	2.98215398408369	2.09257738729248	0.0363868968973738	1.82403795510465e-05	0.0363868968973738	4.82831210860443e-25	513.057534815116	1.48508734300152	177247.510236369	Gpr139	up
GRPR	GRPR	4.33267429491925	1.56546453073576	2.76766046745429	0.00564602427129702	0.00929978311930002	0.00564602427129705	0.00521550021447784	76.1476558023532	3.54103903079022	1637.50397377	Grpr	up
HHIP	HHIP	0.625614482157108	0.199206747477663	3.14052857184096	0.00168643256520684	0.00368742317239309	0.00168643256520684	0.00123543723647855	1.86939431402434	1.26513195832884	2.76226924653988	Hhip	up
HS6ST2	HS6ST2	1.56376333715925	0.499359376050833	3.13153895201933	0.00173892716771843	0.00248331384219313	0.00173892716771843	0.0011350408435035	4.77676403517163	1.79505730237111	12.7112792541883	Hs6st2	up
IL1RAPL1	IL1RAPL1	10.0569211877707	3.87028116468106	2.59849885831212	0.00936323563981078	0.0243420213740449	0.00936323563981081	0.00821694706361658	23316.6082898538	11.8379384269755	45925582.8619292	Il1rapl1	up
KCNF1	KCNF1	0.577778260460788	0.194527277837618	2.97016576226954	0.00297639097561946	0.00171174255886707	0.00297639097561946	0.00294189265546621	1.7820747233431	1.21714968545823	2.60920276077858	Kcnf1	up
KCNIP4	KCNIP4	1.88984996594802	0.742651851572832	2.54473204630889	0.010936162237199	0.0193763192307885	0.010936162237199	0.00887276304261401	6.61837562483631	1.54384967145202	28.372513672416	Kcnip4	up
KCNK1	KCNK1	0.479049161586968	0.179822015678922	2.66401841720162	0.00772133352160116	0.00886704485560045	0.00772133352160116	0.0066208003831432	1.61453850688282	1.13496803464555	2.29674714232942	Kcnk1	up
KCTD8	KCTD8	2.3766226100053	0.767863469121125	3.09511092216109	0.00196739306045973	0.00763852526965674	0.00196739306045973	0.00148877843637386	10.7684720482708	2.39082349574057	48.5021125402947	Kctd8	up
LGI3	LGI3	0.397862220894893	0.13975890896549	2.8467753779699	0.00441645128090111	0.00399255590025585	0.00441645128090111	0.00395171816194477	1.48863891243997	1.13194771754935	1.95772806223609	Lgi3	up
LIX1	LIX1	-0.665749329023223	0.229297554465705	-2.9034296967297	0.00369099830058446	0.00401549095009707	0.00369099830058447	0.00301930452886484	0.513888311971136	0.32786141421559	0.805465924718098	Lix1	up
LRRK2	LRRK2	0.845777481350113	0.19584848847837	4.31852953229978	1.57072206902793e-05	7.49939666942959e-05	1.57072206902793e-05	4.53001511443845e-06	2.32978847769174	1.58712070540123	3.41997576637562	Lrrk2	up
MAGEE2	MAGEE2	0.325160642171313	0.118631810046525	2.74092287763115	0.00612668862635718	0.00421253731234572	0.00612668862635718	0.00450833918182716	1.38425299752792	1.09707392467627	1.74660642101259	Magee2	up
MAP3K21	MAP3K21	1.69808890159346	0.612811228097807	2.77098203122746	0.00558875108340239	0.0122030017488987	0.00558875108340239	0.00400076843148342	5.46349612946562	1.64378410529971	18.1591912590269	Map3k21	up
MAP6D1	MAP6D1	0.495199383303298	0.188118869323163	2.63237486534437	0.00847902511839814	0.00884768239612491	0.00847902511839816	0.00785650710827138	1.64082535962511	1.13484170542092	2.37240828207866	Map6d1	up
MCIDAS	MCIDAS	2.90937454543622	1.16717140917336	2.49267118999836	0.0126786196048632	0.036552672186872	0.0126786196048632	0.00841132138999108	18.3453208133586	1.86220378995195	180.727156480405	Mcidas	up
MEG8	MEG8	8.39359280185397	2.85892533369906	2.93592585399696	0.00332553800126443	0.00699160000878887	0.00332553800126444	0.00245120582111239	4418.66459614922	16.2843107452271	1198982.08273784	Rian	up
METTL11B	METTL11B	2.5082370850419	1.00911360332328	2.48558445429892	0.0129338893899747	0.0409713374675674	0.0129338893899747	0.00622596014742208	12.2832566250734	1.69963031596813	88.7713003821461	Mettl11b	up
MMD	MMD	0.811180325422122	0.291287371388126	2.78481116965852	0.00535589035728299	0.00496194628175753	0.00535589035728299	0.00455036322765931	2.25056281609284	1.27158934186928	3.98323013759614	Mmd	up
MSANTD1	MSANTD1	1.46152137244367	0.55942415044038	2.61254608206163	0.00898705756795495	0.0179945704684021	0.00898705756795496	0.00819886595459384	4.3125154822745	1.44061511489121	12.9096172826576	Msantd1	up
MYH1	MYH1	6.94946480245335	2.50045604655174	2.77927892875262	0.00544797223475423	0.0247356740643716	0.00544797223475423	0.00208102893514027	1042.59158637638	7.75750689600273	140121.978691753	Myh1	up
NECAB1	NECAB1	0.489391123528099	0.177105379370051	2.7632764474395	0.00572242769213243	0.00881095157568256	0.00572242769213242	0.00471204970605273	1.6313226435277	1.15288899128453	2.3082999208112	Necab1	up
NPY5R	NPY5R	0.669428989648929	0.264071629473866	2.53502805652653	0.0112438320263769	0.0169141081693619	0.0112438320263769	0.00939660150585234	1.95312174942907	1.16399506142864	3.27723432383887	Npy5r	up
NTSR1	NTSR1	1.65877508206351	0.631289072572575	2.62759986531021	0.00859895973800153	0.0182213666236295	0.00859895973800152	0.00672652746066729	5.25287256424742	1.52420236820883	18.1030227689837	Ntsr1	up
NXPH2	NXPH2	2.81739113686023	1.00463853651858	2.80438290434635	0.00504129956336937	0.0121399505859087	0.00504129956336938	0.00349333226198755	16.7331392082257	2.33575642124685	119.874634707156	Nxph2	up
OPRD1	OPRD1	0.732151946679738	0.259071568499509	2.82606057824182	0.00471243510925348	0.00708895258563907	0.00471243510925347	0.00385983977261018	2.0795508786653	1.2515477720593	3.45534701391543	Oprd1	up
OSBPL1A	OSBPL1A	0.744090733498169	0.291194997918389	2.55530053337904	0.0106096149886681	0.0121797586613062	0.0106096149886681	0.00980499336357618	2.1045269888486	1.1892930144872	3.72408968424141	Osbpl1a	up
PAX5	PAX5	5.75725168712675	1.58036633891538	3.64298551883735	0.000269494005070834	0.00287296519414167	0.000269494005070834	6.99652038447602e-08	316.477353824433	14.2932954900503	7007.3354009533	Pax5	down
PCDHGA3	PCDHGA3	0.816636015724436	0.285540453498719	2.85996609488504	0.00423686302924815	0.019494850218634	0.00423686302924815	0.00143174961137883	2.26287474431882	1.29302833116614	3.96016234528898	Pcdhga3	up
PCDHGA4	PCDHGA4	2.16143717047174	0.686468213545666	3.14863401949484	0.00164035487541439	0.00271532662405853	0.00164035487541438	0.00108742021449424	8.68360852069352	2.26140023715681	33.3444101144456	Pcdhga4	up
PCDHGA8	PCDHGA8	5.51308720640226	1.61550576427357	3.41260757362961	0.000643445258553785	0.00499763185545611	0.000643445258553785	0.000208306530736421	247.915312601725	10.4515897038276	5880.63672265115	Pcdhga8	up
PHKG1	PHKG1	-0.775909273438365	0.181100601236531	-4.28441025673332	1.83224546569463e-05	3.04230492182408e-05	1.83224546569464e-05	9.83874179934786e-06	0.460285065680157	0.322755590018658	0.656417265076459	Phkg1	up
PLCXD1	PLCXD1	0.878580145967025	0.261093770091915	3.36499850478137	0.000765440738454112	0.00141272426236664	0.000765440738454111	0.00119592834448352	2.4074790097656	1.44317530658714	4.016113050166	Plcxd1	up
POPDC3	POPDC3	0.588182901141643	0.199814140800008	2.94365002790442	0.00324366565876773	0.0056941251632431	0.00324366565876773	0.00241061262940025	1.80071336655265	1.21720151240983	2.66395382804092	Popdc3	up
PPP1R16B	PPP1R16B	0.500493650626993	0.189506330737843	2.64103921319315	0.0082652152410226	0.00958811203905445	0.0082652152410226	0.00731343270198213	1.64953536391143	1.13776756656767	2.39149629216696	Ppp1r16b	up
RAB3B	RAB3B	0.649787853003665	0.18486139705652	3.51500022909054	0.000439753608916346	0.000891035184839247	0.000439753608916346	0.00027367554096225	1.91513449588336	1.33304549799204	2.75139906540858	Rab3b	up
RAD21L1	RAD21L1	41.8973164279022	13.0015786343822	3.22247917780586	0.00127086402391585	0.0033805092308153	0.00127086402391584	0.00102565777055617	1569543407805832960	13452702.3540528	1.83120568949821e+29	Rad21l	up
RAP1GAP2	RAP1GAP2	0.517975151009684	0.204039560302578	2.53860158413182	0.0111296486940705	0.0190989282737217	0.0111296486940705	0.00914632594765452	1.67862524355253	1.12531721116911	2.50398970203641	Rap1gap2	up
SFTPC	SFTPC	0.666314048855602	0.236255278504968	2.82031391244276	0.00479766909363837	0.00498779142069031	0.00479766909363837	0.00407778283402666	1.94704735641631	1.22539373885794	3.09369412288735	Sftpc	up
SLAIN2	SLAIN2	1.41303970682651	0.469037100480149	3.01263952335539	0.00258986352879861	0.00291070866725444	0.00258986352879861	0.00225411941104904	4.10842484980239	1.63843887413781	10.301974039377	Slain2	down
SLC27A2	SLC27A2	1.47718592630268	0.5914187148373	2.49769898930076	0.0125002286550955	0.0326898708002831	0.0125002286550955	0.00854246032038014	4.38060098561199	1.37441274513247	13.9620831246695	Slc27a2	up
SMIM13	SMIM13	0.850508301803974	0.305546883408109	2.78356071682779	0.00537657981813916	0.00660037134908248	0.00537657981813916	0.00567580828007991	2.34083640094083	1.28614248244396	4.26042614311075	Smim13	up
SPOCK3	SPOCK3	0.770698922971588	0.257034221045019	2.99842923575768	0.00271375169123145	0.00514273835932529	0.00271375169123145	0.00236868390461593	2.16127629167156	1.30593741285342	3.57682930511607	Spock3	up
SPRED3	SPRED3	0.60355827456575	0.212554418178877	2.83954706628503	0.00451776298803092	0.00701858932835047	0.00451776298803091	0.00409508834283623	1.82861394828039	1.20557818106797	2.77363096342989	Spred3	up
SYNJ2	SYNJ2	0.495780739949694	0.18955130530669	2.61554906808757	0.00890841203027999	0.0117650245807772	0.00890841203027999	0.00863376340056707	1.64177954168667	1.13231816901817	2.38046172644045	Synj2	up
TDRD9	TDRD9	1.55884059693954	0.578772270103456	2.69335743514612	0.00707363898690165	0.0161635421752751	0.00707363898690165	0.00484613926943353	4.75330705042687	1.52877657642924	14.7790908521181	Tdrd9	up
TMCO5A	TMCO5A	135.519438168877	48.8872824496135	2.77207959572211	0.00556994150243441	0.0360042182585538	0.00556994150243441	0.000206085438320297	7.1671119365903e+58	174748687557814624	2.93950668411289e+100	Tmco5	up
TPPP	TPPP	0.440665264162461	0.163725894887345	2.69148178707876	0.00711353823171958	0.00726991925147809	0.00711353823171958	0.00639645880583037	1.5537405226506	1.12723576126269	2.14161907800226	Tppp	up
TTLL11	TTLL11	2.26178540322984	0.740960494778824	3.05250471404009	0.00226940166510424	0.00533060967029649	0.00226940166510424	0.00206245583714585	9.6002141280461	2.24685063854512	41.0192425447621	Ttll11	up
TTLL7	TTLL7	0.897110429632854	0.265176635300469	3.38306739813765	0.000716810386473431	0.00108048554815204	0.000716810386473431	0.000688705499879683	2.45250617338062	1.4584493392651	4.12409699023267	Ttll7	up
USP43	USP43	0.823215977600835	0.316152689459823	2.60385568443962	0.00921815628296226	0.0118169444171715	0.00921815628296226	0.00945617015616272	2.27781346808519	1.22576862062601	4.23280063470747	Usp43	up
ZBTB8B	ZBTB8B	1.17795037288792	0.369662546380761	3.1865559127394	0.00143977655650225	0.00200844653017691	0.00143977655650225	0.00120884340659615	3.24771078038901	1.57369301424094	6.70246688369688	Zbtb8b	up
ZNF519	ZNF519	1.4585384259155	0.50095226315527	2.91153176298443	0.0035966133784245	0.00286793281927024	0.0035966133784245	0.00336293308946088	4.29967064644262	1.61073409089528	11.477479599134	Zfp941	up
