cpgIsland	IwtAP2R4a	IwtAP6c	IWTAPB	IAP89	IAP89B	IAPA	log2FoldChange	pvalue	padj	DynamicallyDetected
chr16_21612998_21613283	3.359230734	0	0	24.39871675	40.61031215	39.89228805	5.18628666	8.21E-05	0.018720128	Yes
chrX_103614849_103615104	0	2.298047544	2.734790138	57.66969415	17.61411129	38.88235671	4.420440466	8.21E-05	0.018720128	
chr7_25010102_25010845	0	0	0	8.872260638	29.84613303	23.73338656	6.364346179	9.35E-05	0.019314391	Yes
chr10_95501716_95501973	10.0776922	19.53340412	16.40874083	0	0	0.504965672	-6.049385255	9.18E-05	0.019314391	
chr7_70357801_70358206	0	1.149023772	1.367395069	26.61678191	34.73894172	20.70359253	4.931334434	0.000108695	0.019736371	Yes
chr7_98111294_98111558	0	0	0	16.6354887	20.06051564	13.63407313	6.044715398	0.000100565	0.019736371	
chr11_63923390_63923670	1.679615367	4.596095088	4.102185207	44.36130319	27.39972868	29.79297462	3.238959642	0.000104789	0.019736371	Yes
chr17_23806918_23807174	1.679615367	1.149023772	1.367395069	29.94387965	20.06051564	26.76318059	4.214018082	0.000106117	0.019736371	Yes
chr14_118226011_118226253	0	2.298047544	0	47.68840093	42.07815476	17.16883283	5.352241348	0.000115133	0.020290549	Yes
chr15_36140274_36140581	0	0	0	27.72581449	29.35685216	7.069519401	6.390755489	0.000136222	0.023321188	
chr2_151970535_151970877	6.718461468	3.447071316	1.367395069	48.79743351	41.58887389	24.23835223	3.349645225	0.000146714	0.02375981	Yes
chr19_8837377_8837730	0	0	0	14.41742354	14.18914521	18.17876418	5.940743126	0.000145765	0.02375981	
chr2_158610743_158611614	0	0	0	15.52645612	12.23202173	19.69366119	5.959731548	0.000156366	0.024656418	Yes
chr5_123132273_123132486	0	0	0	15.52645612	11.25345999	22.21848955	6.006563083	0.000163228	0.025078535	
chr1_53706523_53706879	0	0	0	22.1806516	16.14626869	10.6042791	5.996337829	0.000173741	0.025391654	
chr10_75893226_75893591	0	1.149023772	1.367395069	43.25227061	14.18914521	31.30787163	5.040055823	0.000171344	0.025391654	
chr5_92675034_92675257	0	0	0	8.872260638	14.67842608	37.36745969	6.32712173	0.000180952	0.025780299	
chr6_136661504_136661800	0	0	0	13.30839096	17.61411129	14.1390388	5.887658816	0.000185005	0.025780299	Yes
chr4_114843180_114843722	0	0	0	24.39871675	6.84993217	26.25821492	6.232557865	0.000205537	0.027990455	
chr5_99906243_99906613	0	0	0	8.872260638	16.14626869	25.75324925	6.065273207	0.000221899	0.028289809	
chr9_22188053_22188346	0	0	0	15.52645612	8.317774778	33.32773432	6.230705464	0.000214468	0.028289809	
chr12_111485150_111486001	0	0	0	24.39871675	10.27489825	14.1390388	5.990318557	0.000217474	0.028289809	Yes
chr2_170133456_170133728	1.679615367	3.447071316	1.367395069	53.23356383	17.61411129	25.24828358	3.834129738	0.000237494	0.029042113	Yes
chr9_78821638_78821916	0	0	0	27.72581449	7.828493908	17.16883283	6.101812343	0.000246953	0.029042113	Yes
chr11_78490642_78491181	1.679615367	1.149023772	0	15.52645612	42.07815476	23.22842089	4.886174955	0.000251899	0.029042113	Yes
chr11_120187268_120187720	0	1.149023772	0	49.90646609	18.59267303	12.11917612	5.750462917	0.000252034	0.029042113	
chr14_18326947_18327379	0	0	0	15.52645612	23.97476259	9.089382088	5.994669957	0.000251042	0.029042113	
chr15_79604886_79605119	0	0	0	14.41742354	9.785617386	22.72345522	5.944727177	0.000258748	0.029253183	
chr1_43553864_43554185	0	3.447071316	0	23.28968417	24.95332433	44.43697909	4.591087563	0.000287299	0.031382989	Yes
chr10_90969903_90970147	0	0	0	19.96258644	12.7213026	11.10924477	5.835470306	0.000288061	0.031382989	
chr4_141025205_141025506	0	0	0	9.981293218	9.785617386	37.36745969	6.233259528	0.000313549	0.033017731	
chr10_40024853_40025279	0	0	0	7.763228058	18.59267303	20.70359253	5.956777785	0.000314087	0.033017731	
chr12_14149682_14150644	0	1.149023772	1.367395069	23.28968417	15.65698782	28.78304328	4.654598972	0.000351406	0.036303878	Yes
chr10_22645256_22645505	0	0	0	7.763228058	18.10339216	19.18869552	5.893960556	0.000365957	0.037025661	
chr18_75821013_75821385	0	2.298047544	0	31.05291223	19.0819539	23.22842089	4.800613878	0.000370751	0.037025661	Yes
chr18_15061856_15064339	5.038846101	0	1.367395069	24.39871675	29.84613303	32.31780298	3.891662921	0.000395848	0.038883972	Yes
chr15_78410074_78410683	1.679615367	0	0	7.763228058	28.37829042	35.34759701	5.598790165	0.000405646	0.039203681	Yes
chr2_18688720_18690513	1.679615367	1.149023772	1.367395069	16.6354887	25.93188607	19.69366119	3.923352903	0.000420009	0.039323367	Yes
chr11_68399534_68400614	0	1.149023772	0	26.61678191	13.21058347	17.6737985	5.265196467	0.000417053	0.039323367	Yes
chr7_12803403_12803766	0	0	0	6.654195479	17.12483042	22.21848955	5.924283767	0.000456688	0.04191838	Yes
chr7_37773504_37773708	1.679615367	0	0	77.63228058	26.91044781	4.039725372	6.184530997	0.000461718	0.04191838	Yes
chr13_58358698_58359201	0	0	0	7.763228058	13.69986434	22.21848955	5.848667314	0.000482961	0.043192542	
chr5_72586974_72587608	0	0	0	6.654195479	14.67842608	25.24828358	5.942002222	0.000502682	0.044295132	
chr3_88536236_88537018	0	0	0	26.61678191	7.339213039	12.62414179	5.920469412	0.000510848	0.044362323	
chr4_74013561_74013962	0	0	0	13.30839096	12.23202173	11.61421045	5.604643779	0.000534851	0.045783275	
chr11_97546385_97547238	0	1.149023772	0	21.07161902	17.61411129	13.12910746	5.118566776	0.000561689	0.047403405	Yes
chr11_3774664_3775008	0	0	0	14.41742354	9.785617386	13.12910746	5.609402233	0.000583543	0.047940919	
chr13_93674272_93674553	0	2.298047544	0	42.14323803	31.31397563	11.10924477	5.021740003	0.00058406	0.047940919	
chr7_46396209_46398311	0	1.149023772	0	16.6354887	23.48548173	12.11917612	5.137717596	0.00063366	0.050387687	Yes
chr7_98079218_98079427	5.038846101	13.78828526	5.469580276	51.01549867	39.14246954	44.43697909	2.431056757	0.000638608	0.050387687	Yes
chr18_78047215_78047654	0	0	1.367395069	28.83484707	9.785617386	18.68372985	5.258959148	0.000639096	0.050387687	Yes
chr8_64849319_64850354	11.75730757	9.192190175	15.04134576	0	0.978561739	0.504965672	-4.375576038	0.000720731	0.056085995	
chr7_102106910_102107246	0	0	0	8.872260638	11.25345999	17.16883283	5.618283079	0.000733035	0.056312128	Yes
chr4_126148497_126149680	1.679615367	0	0	17.74452128	11.74274086	19.69366119	5.046829315	0.000750351	0.056912707	
chr19_53529819_53530112	0	3.447071316	0	32.16194481	15.16770695	32.82276865	4.380451056	0.000782699	0.058624143	
chr1_155244091_155244947	3.359230734	3.447071316	0	22.1806516	21.52835825	23.73338656	3.310548699	0.001148959	0.05898268	Yes
chr2_71543089_71543374	0	0	0	24.39871675	14.67842608	5.049656715	5.844284892	0.000896064	0.05898268	
chr2_152413861_152415027	1.679615367	1.149023772	0	14.41742354	18.10339216	21.71352388	4.309191339	0.0009855	0.05898268	Yes
chr4_8751762_8752020	0	2.298047544	4.102185207	17.74452128	20.06051564	37.87242536	3.513513134	0.001075384	0.05898268	
chr4_49631849_49632463	11.75730757	2.298047544	17.7761359	0	0	0	-6.467501762	0.000958949	0.05898268	
chr4_137388147_137388569	31.91269197	6.894142631	8.204370413	0	0	1.009931343	-5.28363707	0.001132777	0.05898268	
chr5_137645108_137645485	1.679615367	4.596095088	0	32.16194481	23.97476259	20.19862686	3.533742691	0.001032569	0.05898268	Yes
chr5_143235128_143235548	20.1553844	14.93730903	1.367395069	0	0	0	-6.665528939	0.001039666	0.05898268	
chr6_53817864_53821098	1.679615367	1.149023772	1.367395069	22.1806516	18.10339216	15.14897015	3.741453701	0.000815301	0.05898268	
chr6_91212723_91212972	0	1.149023772	0	37.70710771	4.892808693	27.26814626	5.548025373	0.000888356	0.05898268	
chr7_18991833_18992615	0	0	0	24.39871675	8.807055647	7.574485073	5.726608292	0.000999426	0.05898268	
chr7_19369864_19370296	0	0	0	16.6354887	8.807055647	9.089382088	5.490488601	0.001148779	0.05898268	
chr7_24585620_24586052	53.74769174	44.8119271	34.18487672	1.10903258	8.317774778	10.09931343	-2.701744516	0.001147278	0.05898268	
chr7_35185306_35185532	0	0	0	11.0903258	12.23202173	9.594347759	5.431612298	0.001075483	0.05898268	
chr7_51861457_51862387	0	0	0	13.30839096	6.360651301	17.6737985	5.612151378	0.001043048	0.05898268	
chr7_135410478_135410801	0	0	0	9.981293218	17.61411129	9.089382088	5.592487397	0.000850343	0.05898268	
chr7_141464722_141465089	0	1.149023772	1.367395069	14.41742354	17.61411129	19.18869552	4.258202707	0.001143771	0.05898268	
chr8_25101927_25102511	0	0	0	12.19935838	12.23202173	9.089382088	5.455798388	0.001012926	0.05898268	
chr9_90054522_90054728	0	0	0	9.981293218	11.74274086	10.6042791	5.407740068	0.001157167	0.05898268	
chr9_91365745_91365981	0	0	0	31.05291223	4.403527824	13.63407313	5.996617248	0.000923375	0.05898268	
chr9_91381431_91382110	1.679615367	3.447071316	0	41.03420545	15.16770695	21.71352388	3.865343449	0.000923554	0.05898268	Yes
chr10_24595451_24596086	0	0	0	16.6354887	5.871370431	14.64400447	5.59921284	0.00113599	0.05898268	
chr11_35797511_35798675	1.679615367	2.298047544	1.367395069	31.05291223	11.74274086	20.70359253	3.538041844	0.001114576	0.05898268	Yes
chr11_116334205_116335735	1.679615367	3.447071316	4.102185207	23.28968417	27.88900955	19.69366119	2.910275206	0.000823061	0.05898268	Yes
chr11_117860710_117860915	1.679615367	2.298047544	1.367395069	19.96258644	15.65698782	23.22842089	3.439369521	0.000815143	0.05898268	
chr12_44328640_44329689	1.679615367	0	0	17.74452128	13.69986434	13.63407313	4.918101541	0.000988117	0.05898268	
chr12_71111371_71111657	0	1.149023772	0	11.0903258	18.59267303	16.15890149	4.955629111	0.00103158	0.05898268	
chr12_86214337_86214574	0	0	0	9.981293218	21.03907738	7.069519401	5.646777849	0.001103145	0.05898268	
chr13_94595964_94596226	0	4.596095088	0	29.94387965	22.50691999	29.79297462	4.020378978	0.001074439	0.05898268	Yes
chr14_12341100_12341600	0	0	0	8.872260638	8.317774778	18.68372985	5.561118539	0.001161541	0.05898268	
chr14_61686477_61687075	0	2.298047544	0	17.74452128	21.52835825	18.68372985	4.470954282	0.001051235	0.05898268	
chr15_98167780_98168736	0	0	0	19.96258644	8.317774778	9.594347759	5.621919162	0.000918533	0.05898268	
chr16_5306734_5307115	0	0	0	9.981293218	8.317774778	16.15890149	5.500635987	0.001133407	0.05898268	
chr17_28080586_28080888	1.679615367	1.149023772	1.367395069	29.94387965	13.21058347	16.66386716	3.842264263	0.000915223	0.05898268	
chr17_46445024_46445511	8.398076835	4.596095088	5.469580276	24.39871675	32.78181824	38.88235671	2.413845739	0.000942726	0.05898268	Yes
chr18_77185359_77186116	0	0	0	9.981293218	7.339213039	25.24828358	5.807537055	0.000827766	0.05898268	
chr19_4867803_4868028	1.679615367	2.298047544	0	66.54195479	8.807055647	20.19862686	4.555392356	0.001004767	0.05898268	Yes
chr19_30029914_30031343	3.359230734	5.74511886	4.102185207	31.05291223	28.37829042	21.71352388	2.588246139	0.000887928	0.05898268	Yes
chr4_145745012_145745849	55.42730711	49.40802219	41.02185207	2.21806516	9.296336516	13.63407313	-2.483934765	0.001193193	0.060080772	
chr2_49787440_49788079	0	0	0	5.545162899	12.7213026	19.69366119	5.647721505	0.001228918	0.060358029	Yes
chr18_62179553_62180449	0	0	0	12.19935838	8.317774778	12.11917612	5.416277292	0.001224374	0.060358029	
chr18_74063832_74065542	0	0	0	18.85355386	7.828493908	9.089382088	5.53924003	0.001217279	0.060358029	
chr4_109979980_109980420	0	0	0	11.0903258	10.27489825	10.09931343	5.365203092	0.001317742	0.060737754	
chr6_21214451_21215805	0	0	0	13.30839096	6.360651301	15.14897015	5.509379167	0.001289698	0.060737754	
chr6_23253713_23254096	0	2.298047544	2.734790138	42.14323803	11.25345999	22.21848955	3.826077905	0.001250778	0.060737754	
chr6_28397695_28398016	0	0	0	35.48904255	1.467842608	25.75324925	6.356203027	0.001307256	0.060737754	Yes
chr6_29433165_29433739	0	0	0	4.436130319	20.06051564	15.65393582	5.729453255	0.001283911	0.060737754	
chr7_19852141_19852415	0	0	0	9.981293218	9.296336516	12.62414179	5.388087359	0.001309912	0.060737754	
chr12_88354390_88354691	0	0	1.367395069	28.83484707	9.785617386	12.11917612	5.079115356	0.001265425	0.060737754	
chr14_54912159_54913115	0	0	0	7.763228058	9.296336516	17.6737985	5.516219466	0.001297016	0.060737754	
chr3_28262539_28262845	0	0	0	22.1806516	4.892808693	12.62414179	5.690299536	0.00134304	0.061431266	
chr8_46292169_46292386	0	0	0	19.96258644	3.424966085	20.19862686	5.831342374	0.001398624	0.063489057	
chr6_23247534_23249805	0	0	0	13.30839096	5.382089562	17.6737985	5.573330609	0.001425555	0.064112576	Yes
chr7_101296765_101296967	0	0	0	13.30839096	11.25345999	7.574485073	5.391306386	0.001444459	0.064112576	
chr11_59176424_59177354	0	0	0	9.981293218	8.317774778	13.63407313	5.389417949	0.001437481	0.064112576	
chr2_112492914_112493511	0	0	0	12.19935838	6.84993217	13.63407313	5.418517883	0.001490396	0.064946262	
chr6_88499946_88500391	0	0	0	23.28968417	8.317774778	6.56455373	5.63059967	0.001481309	0.064946262	
chr11_114791528_114792431	0	0	0	5.545162899	13.69986434	15.65393582	5.526762605	0.001495758	0.064946262	
chr2_122301684_122301888	0	0	0	8.872260638	11.74274086	10.09931343	5.335408287	0.001565561	0.065600282	
chr4_98395669_98396214	0	0	0	19.96258644	7.339213039	8.079450745	5.521845076	0.001557721	0.065600282	
chr11_54027694_54028576	0	0	1.367395069	17.74452128	9.785617386	15.14897015	4.837417821	0.001536029	0.065600282	
chr12_118836524_118837186	0	0	0	5.545162899	16.14626869	13.12910746	5.523582036	0.00152789	0.065600282	
chr15_103366094_103366731	0	0	0	27.72581449	8.317774778	5.554622387	5.754382828	0.001545664	0.065600282	
chr4_108118282_108118619	0	0	0	12.19935838	7.828493908	11.10924477	5.347045626	0.001582993	0.065870105	
chr11_5861773_5862357	0	0	0	8.872260638	12.23202173	9.594347759	5.334666207	0.001606654	0.066393594	
chr4_123990724_123990945	0	0	0	22.1806516	5.871370431	9.089382088	5.591463656	0.001642007	0.066479091	
chr11_116694238_116694929	0	2.298047544	0	19.96258644	20.06051564	14.1390388	4.371996323	0.001635847	0.066479091	Yes
chr13_58384781_58385404	0	1.149023772	2.734790138	13.30839096	20.54979651	19.69366119	3.736226164	0.001626799	0.066479091	Yes
chr9_20868533_20868977	0	0	0	15.52645612	6.84993217	10.09931343	5.402151132	0.00167322	0.067288145	
chr4_133038498_133039640	0	0	0	26.61678191	6.84993217	6.56455373	5.698365479	0.001690444	0.067527591	
chr18_82405614_82406552	0	0	0	9.981293218	9.785617386	10.09931343	5.291420679	0.00171842	0.06819056	
chr1_167929789_167929998	0	1.149023772	1.367395069	25.50774933	7.339213039	25.24828358	4.435348213	0.001741941	0.068571548	Yes
chr7_16158751_16159080	0	0	2.734790138	33.27097739	13.69986434	15.65393582	4.499991935	0.001750909	0.068571548	
chr14_62292586_62293023	0	1.149023772	0	8.872260638	15.65698782	17.16883283	4.821162618	0.001780378	0.069272902	
chr11_121156395_121156973	0	0	0	9.981293218	5.382089562	20.70359253	5.566446081	0.001804281	0.069418376	
chr15_79545998_79547141	0	0	1.367395069	11.0903258	9.785617386	23.22842089	4.897820416	0.001807288	0.069418376	
chr4_137957986_137958194	97.41769128	89.62385421	80.67630906	35.48904255	36.6960652	36.35752835	-1.300099313	0.001826334	0.069703134	
chr1_43098480_43098954	38.63115344	3.447071316	1.367395069	0	0	0	-6.912579434	0.001853478	0.070291386	
chr4_48539926_48540333	0	0	0	19.96258644	8.807055647	6.059588058	5.499124443	0.001869164	0.070440455	
chr4_101292974_101293370	0	0	1.367395069	7.763228058	9.785617386	35.34759701	5.163062497	0.001919089	0.070614306	Yes
chr8_48228507_48229133	87.33999908	82.72971158	69.73714851	14.41742354	28.86757129	30.29794029	-1.682407678	0.001899695	0.070614306	
chr15_84557416_84557876	0	2.298047544	2.734790138	18.85355386	20.54979651	15.14897015	3.357584273	0.001920917	0.070614306	Yes
chr16_18777114_18777946	0	2.298047544	0	21.07161902	11.74274086	22.21848955	4.3983247	0.001911865	0.070614306	
chr10_78018870_78019131	35.27192271	9.192190175	43.7566422	6.654195479	2.935685216	2.524828358	-2.924184315	0.001937964	0.070687681	
chr17_32143438_32143722	0	0	0	14.41742354	7.339213039	9.089382088	5.328209837	0.001946507	0.070687681	
chr7_19004142_19005664	1.679615367	2.298047544	5.469580276	25.50774933	18.10339216	22.21848955	2.782566767	0.002006861	0.07244043	
chr9_21038618_21038826	5.038846101	0	0	28.83484707	26.42116694	20.19862686	4.06258591	0.002029267	0.072810602	
chr1_54194342_54195242	0	0	0	7.763228058	11.25345999	10.09931343	5.259994687	0.002128582	0.074000301	
chr2_105660037_105660246	0	4.596095088	1.367395069	74.30518284	10.76417912	20.19862686	4.047216487	0.002133936	0.074000301	Yes
chr4_109280116_109281166	0	0	0	13.30839096	8.317774778	8.079450745	5.275013463	0.002136524	0.074000301	
chr10_84760085_84760328	3.359230734	0	0	21.07161902	34.24966085	11.10924477	4.492927353	0.002128325	0.074000301	Yes
chr13_48732624_48732892	3.359230734	0	0	23.28968417	13.69986434	21.2085582	4.309589849	0.002102132	0.074000301	
chr16_29210007_29210265	0	0	0	18.85355386	9.296336516	5.554622387	5.452382464	0.002131079	0.074000301	
chr5_139540305_139541293	0	1.149023772	0	14.41742354	10.27489825	13.63407313	4.685327413	0.002169267	0.074081542	Yes
chr8_44950565_44950826	132.689614	94.2199493	131.2699266	49.90646609	31.8032565	48.47670447	-1.464265926	0.002188323	0.074081542	
chr10_81239944_81240211	0	1.149023772	1.367395069	8.872260638	25.93188607	16.15890149	4.264324418	0.002165834	0.074081542	
chr15_32778969_32779211	0	0	0	9.981293218	7.828493908	11.10924477	5.243958101	0.002182077	0.074081542	
chr4_139828451_139828698	0	3.447071316	0	31.05291223	19.57123477	14.1390388	4.07198962	0.002207309	0.074304472	
chr11_115321831_115322047	0	2.298047544	0	60.99679189	4.892808693	21.71352388	5.096590754	0.002256336	0.075530539	
chr14_108911299_108911530	1.679615367	0	0	54.34259641	3.424966085	11.61421045	5.533240579	0.0022883	0.075531522	Yes
chr15_85625626_85626162	0	0	0	27.72581449	3.424966085	10.09931343	5.743477415	0.002294182	0.075531522	
chr19_4396497_4398547	0	1.149023772	0	5.545162899	17.61411129	22.72345522	4.961919306	0.002270847	0.075531522	
chr11_20455179_20455490	0	0	1.367395069	22.1806516	13.69986434	7.069519401	4.84078978	0.002362264	0.076986684	
chr18_66291244_66292008	3.359230734	2.298047544	1.367395069	15.52645612	13.69986434	30.80290596	3.126861596	0.002364077	0.076986684	Yes
chr9_31131286_31131913	0	0	0	14.41742354	4.892808693	12.62414179	5.380370569	0.002385263	0.077256747	
chr4_98382928_98383269	0	0	0	14.41742354	10.76417912	5.554622387	5.323831477	0.002428829	0.078065702	
chr6_47757761_47758538	0	2.298047544	4.102185207	18.85355386	18.59267303	20.70359253	3.124918875	0.002436296	0.078065702	Yes
chr7_80186700_80187059	0	0	0	14.41742354	6.360651301	9.089382088	5.280798607	0.002499166	0.07914079	
chr8_111337878_111338111	0	0	0	16.6354887	3.914246954	13.63407313	5.477627283	0.002509471	0.07914079	
chr19_41088568_41088790	1.679615367	1.149023772	0	42.14323803	3.914246954	24.74331791	4.670581381	0.002506487	0.07914079	
chr2_165112049_165112596	0	0	0	4.436130319	14.18914521	13.63407313	5.414332161	0.002524042	0.079183556	
chr5_35388399_35389468	0	0	0	21.07161902	6.360651301	6.56455373	5.462277136	0.002538012	0.07920714	
chr12_112678599_112679696	0	0	0	9.981293218	5.871370431	14.1390388	5.297328978	0.002562777	0.079565609	
chr4_136148411_136148656	0	1.149023772	0	6.654195479	33.27109911	9.594347759	5.069321081	0.002580279	0.079696036	Yes
chr2_147183909_147184553	0	2.298047544	0	18.85355386	12.7213026	17.6737985	4.236005924	0.002605797	0.08007146	
chr11_88999234_89000002	0	1.149023772	1.367395069	17.74452128	16.14626869	10.6042791	4.045764176	0.002629617	0.080391152	Yes
chr1_82839328_82840320	0	13.78828526	45.12403727	0	0	0	-7.362517395	0.00272642	0.080797641	
chr2_34372602_34373324	0	0	0	4.436130319	7.339213039	26.25821492	5.649346544	0.002671966	0.080797641	Yes
chr3_85887129_85887931	0	3.447071316	0	25.50774933	17.12483042	16.15890149	3.930638849	0.002667256	0.080797641	Yes
chr6_77243659_77244825	3.359230734	2.298047544	0	46.57936835	6.84993217	27.77311193	3.862466759	0.002815127	0.080797641	Yes
chr6_82652529_82653217	0	0	1.367395069	13.30839096	10.76417912	11.61421045	4.582581711	0.002814857	0.080797641	
chr8_121468776_121468983	5.038846101	9.192190175	4.102185207	63.21485705	22.50691999	25.75324925	2.570539762	0.002703451	0.080797641	Yes
chr9_64340472_64341326	0	0	0	12.19935838	22.50691999	3.029794029	5.629664773	0.002784901	0.080797641	Yes
chr11_56459335_56459598	119.2526911	86.17678289	87.51328441	41.03420545	28.86757129	40.90221939	-1.405183844	0.002814386	0.080797641	
chr11_60222754_60222963	0	0	0	12.19935838	4.892808693	13.63407313	5.328059788	0.002712348	0.080797641	
chr11_120011987_120012305	0	0	0	1.10903258	18.59267303	32.31780298	6.099715985	0.002768882	0.080797641	Yes
chr13_36578632_36578863	0	0	0	14.41742354	3.424966085	16.66386716	5.495198876	0.002820974	0.080797641	
chr15_81693572_81695044	0	1.149023772	0	16.6354887	9.785617386	10.6042791	4.628924509	0.002845177	0.080797641	
chr15_99087196_99088551	1.679615367	1.149023772	0	11.0903258	18.59267303	14.64400447	4.019333041	0.002784437	0.080797641	
chr19_17356352_17356764	0	0	0	3.327097739	17.12483042	14.1390388	5.515321151	0.002836929	0.080797641	
chr19_46003367_46004063	0	0	0	13.30839096	5.382089562	11.10924477	5.280264578	0.002732924	0.080797641	
chr11_70026854_70027135	0	1.149023772	0	8.872260638	9.296336516	22.21848955	4.773082213	0.002876765	0.081309318	
chr2_154549461_154549969	5.038846101	0	2.734790138	25.50774933	18.59267303	22.21848955	3.183746597	0.002972855	0.081339484	Yes
chr6_47942970_47943596	1.679615367	2.298047544	4.102185207	15.52645612	35.22822259	14.1390388	3.000722469	0.002957949	0.081339484	Yes
chr6_112489024_112489883	0	0	0	21.07161902	6.84993217	5.554622387	5.439783072	0.002906235	0.081339484	
chr9_78442517_78443268	0	0	1.367395069	13.30839096	12.7213026	9.594347759	4.580206374	0.002959423	0.081339484	
chr10_75060384_75062209	0	2.298047544	4.102185207	24.39871675	13.69986434	22.21848955	3.173299764	0.002900924	0.081339484	Yes
chr11_3517025_3517261	0	0	0	8.872260638	17.61411129	5.049656715	5.373401281	0.002928471	0.081339484	
chr11_114064913_114065327	0	0	0	8.872260638	6.360651301	13.12910746	5.218202659	0.002971927	0.081339484	
chr8_75212788_75214068	0	0	0	14.41742354	7.828493908	6.56455373	5.227611825	0.003002086	0.081765898	
chr14_79768453_79771419	0	2.298047544	0	23.28968417	13.21058347	13.12910746	4.244728795	0.003036277	0.08232294	Yes
chr7_28378371_28378617	10.0776922	9.192190175	10.93916055	52.12453125	28.37829042	35.34759701	1.931151197	0.003071633	0.082693088	
chr9_91362347_91362603	1.679615367	0	0	11.0903258	6.360651301	25.75324925	4.866730909	0.00307753	0.082693088	Yes
chr17_26939286_26939959	20.1553844	11.49023772	2.734790138	1.10903258	0.489280869	0	-4.692395463	0.003105109	0.083061671	
chr9_89908631_89911157	0	0	0	12.19935838	3.914246954	15.65393582	5.377324402	0.003184217	0.084461643	Yes
chr13_40737839_40738229	0	1.149023772	0	6.654195479	11.74274086	21.71352388	4.766755975	0.003185636	0.084461643	
chr5_75044036_75044955	3.359230734	1.149023772	1.367395069	28.83484707	12.23202173	13.63407313	3.264891655	0.003231247	0.085293538	
chr16_97763144_97763933	0	0	0	8.872260638	9.296336516	8.079450745	5.104865715	0.003292437	0.086527558	
chr12_73053667_73054187	0	1.149023772	0	14.41742354	17.12483042	6.56455373	4.677963677	0.003358854	0.087887578	
chr11_5059843_5060049	0	1.149023772	0	19.96258644	8.807055647	9.089382088	4.655939257	0.003424206	0.088821824	
chr11_120185431_120186075	0	1.149023772	0	14.41742354	10.76417912	9.594347759	4.541353674	0.003411297	0.088821824	
